sample,fastq_1,fastq_2,strandedness
SRX19144486_SNI_Oxy,test/fastq/SRX19144486_SRR23195516_1.fastq.gz,test/fastq/SRX19144486_SRR23195516_2.fastq.gz,auto
SRX19144488_Shm_Oxy,test/fastq/SRX19144488_SRR23195511_1.fastq.gz,test/fastq/SRX19144488_SRR23195511_2.fastq.gz,auto
